Autor1,Gênero_Autor1,Autor2,Gênero_Autor2,Peso
Alexandre Ribeiro,Homem,Jorge dos Santos,Homem,1
Alexandre Ribeiro,Homem,Welverton da Silva,Homem,1
Alexandre Rocha,Homem,Denis Rosário,Homem,1
Alexandre Rocha,Homem,Francisco da Ponte,Homem,1
Alexandre Rocha,Homem,Gabriel Galdino,Homem,1
Alexandre Rocha,Homem,Joaquim Celestino Jr,Homem,1
Alexandre Rocha,Homem,Rafael Gomes,Mulher,1
Alexandre Rossi Paschoal,Homem,Bruno Henrique Ribeiro da Fonseca,Homem,1
Alexandre Rossi Paschoal,Homem,Douglas Silva Domingues,Homem,1
Alexandre Scaico,Homem,José Samuel Assunção Luz,Homem,1
Alexandre Scaico,Homem,Juliana Aragão,Mulher,1
Alexandre Scaico,Homem,Willams Pinto Ferreira,Homem,1
Alexandre Souza,Homem,Franklin Barcellos,Homem,2
Alexandre Souza,Homem,Rodrigo Lambrecht,Homem,2
Alexandre Souza,Homem,Rogério Albandes,Homem,2
Alexandre da Rosa,Homem,Andreia de Jesus,Mulher,1
Alexandre da Rosa,Homem,Gabriel Vaz Igarashi,Homem,1
Alexandre da Rosa,Homem,Vinicius Struginski Pereira,Homem,1
Alexia Bagesteiro Camargo,Mulher,Alice F. Finger,Mulher,1
Alexia Bagesteiro Camargo,Mulher,Aline Vieira de Mello,Mulher,1
Alexia Bagesteiro Camargo,Mulher,Amanda Meincke Melo,Mulher,1
Alexia Bagesteiro Camargo,Mulher,Clevi Rapkiewicz,Mulher,1
Alexia Bagesteiro Camargo,Mulher,Hariel Souza,Homem,1
Alexia Bagesteiro Camargo,Mulher,Letícia Gindri,Mulher,1
Alexsander Andrade de Melo,Homem,Uéverton dos Santos Souza,Homem,1
Alice Barbosa,Mulher,Carina Oliveira,Mulher,2
Alice Barbosa,Mulher,Daniel Saraiva,Homem,1
