Autor_Canonico,Sigla
Raquel M. de C. T. Figueiredo,ENCompIF
Raiane Eunice S. Fernandes,ENCompIF
Raquel M. de C. T. Figueiredo,ENCompIF
Clênia Melo Araujo,ENCompIF
Jislane S. S. de Menezes,ENCompIF
Diego X. Siqueira,ENCompIF
Geísa A. R. Boaventura,ENCompIF
Lívia M. C. Campos,ENCompIF
Mateus B. Macedo,ENCompIF
Renan Vinicius Aranha,ENCompIF
Cleon X. Pereira Junior,ENCompIF
Eddie Fernandes de Jesus Menezes,ENCompIF
Felipe Jovino dos Santos,ENCompIF
Gabriel do Nascimento Santos Silva,ENCompIF
José Matheus Oliveira Cavalcante,ENCompIF
Stephanie Kamarry Alves De Sousa,ENCompIF
Marcelo de L. Freire,ENCompIF
