Autor,Gênero,Grau (Centralidade),Grau Ponderado (Força)
Vinicius Struginski Pereira,Homem,0.0016,3
Alice Barbosa do Couto,Mulher,0.0066,12
Amanda Raynara Quintana Theodoro,Mulher,0.0066,12
Ariadne Nicoly Mori de Paula,Mulher,0.0066,12
Bianca Fernandes Ribas,Mulher,0.0066,12
Clara Scatena da Silva,Mulher,0.0066,12
Claudia Santos Fernandes,Mulher,0.0066,12
Diane Rosa da Silva,Mulher,0.0066,12
Giovanna Mara Paes Franco,Mulher,0.0066,12
Luana Arfux de Castro Nogueira,Mulher,0.0066,12
Marcia Ferreira Cristaldo,Mulher,0.0066,12
Maria Eduarda Alves Barbosa,Mulher,0.0066,12
Marta Luzzi,Mulher,0.0066,12
Nayara Arruda Cunha,Mulher,0.0066,12
Alice F. Finger,Mulher,0.0016,3
Aline Vieira de Mello,Mulher,0.0033,8
Andréa S. Bordin,Mulher,0.0016,3
Letícia Gindri,Mulher,0.0055,12
Alice Fonseca Finger,Mulher,0.0022,5
Amanda Meincke Melo,Mulher,0.0044,9
Andréa Sabedra Bordin,Mulher,0.0022,4
Alice Menezes,Mulher,0.0005,1
Carlos Figueiredo,Homem,0.0016,4
Aline Amaral,Mulher,0.0027,5
André F. R. Cordeiro,Homem,0.0027,5
Edson OliveiraJr,Homem,0.0027,5
João Choma Neto,Homem,0.0038,8
Simone R. S. Souza,Mulher,0.0049,10
Thelma E. Colanzi,Mulher,0.0027,5
Aline Mello,Mulher,0.0033,6
Amanda Melo,Mulher,0.0011,2
Fláva Amim,Mulher,0.0022,4
Isadora Ferrão,Mulher,0.0011,2
Jaqueline Moura,Mulher,0.0022,4
Karina Fernandes,Mulher,0.0022,4
Ketrin Vargas,Mulher,0.0022,4
Aline Paes,Mulher,0.0011,2
Gerson Zaverucha,Homem,0.0011,2
Rodrigo Azevedo Santos,Homem,0.0011,2
Aline Silva De Bona,Mulher,0.0005,1
Natália Bernardo Nunes,Mulher,0.0011,2
Aline Sousa,Mulher,0.0005,1
Natasha Valentim,Mulher,0.0005,1
Aline de S. M. dos Santos,Mulher,0.0011,2
Rozelma Soares de França,Mulher,0.0011,2
Wellington G. Pereira,Homem,0.0011,2
Alirio Santos de Sá,Homem,0.0011,2
Ana Carolina Sokolonski,Mulher,0.0011,2
Raimundo José de Araújo Macêdo,Homem,0.0011,2
Allan Mori,Homem,0.0011,2
Italo Santos,Homem,0.0011,2
Allan Veras,Homem,0.0022,4
Bruno Merlin,Homem,0.0022,4
Heleno Fülber,Homem,0.0022,4
João Ferreira,Homem,0.0022,4
Leonardo Zamprogno,Homem,0.0022,4
Allysson Allex Araújo,Homem,0.0027,7
Ariádna Miranda,Mulher,0.0016,3
Emanuel Coutinho,Homem,0.0049,11
Francisco Gomes,Homem,0.0022,4
Jerffeson Souza,Homem,0.0038,9
Saori Costa,Mulher,0.0022,4
Almir de Oliveira Costa Junior,Homem,0.0005,1
Lucimara Cruz de Souza,Mulher,0.0005,1
Alonso Ali,Homem,0.0005,1
Orlando Lee,Homem,0.0044,11
Aloísio Alkmim de Oliveira Filho,Homem,0.0038,7
Gustavo Bittencourt Machado,Homem,0.0038,7
Izabela Lorena Azevedo,Mulher,0.0038,7
Larissa Kiana Santos Azevedo Martins,Mulher,0.0038,7
Nayana Borges das Mercês,Mulher,0.0038,7
Tayana Nery Franca,Mulher,0.0038,7
Taís Pinheiro Borges Silva,Mulher,0.0038,7
Vanessa Michalsky Barbosa,Mulher,0.0038,7
Altair O. Santin,Homem,0.0005,1
Eduardo K. Viegas,Homem,0.0005,1
