Autor1,Gênero_Autor1,Autor2,Gênero_Autor2,Peso
Melque Henrique Castro,Homem,Nubia Rosa da Silva,Mulher,1
Melque Henrique Castro,Homem,Thiago Leite,Homem,1
Márcia R. Cappelle,Mulher,Otávio S. Mortosa,Homem,1
Márcia R. Cerioli,Mulher,Petrucio Viana,Homem,1
Mário César San Felice,Homem,Pedro H. D. B. Hokama,Homem,1
Nelson Maculan,Homem,Rosiane Freitas,Mulher,1
Nicolas Nisse,Homem,Raul Lopes,Homem,1
Nubia Rosa da Silva,Mulher,Thiago Leite,Homem,1
Orlando Lee,Homem,Vinícius de Souza Carvalho,Homem,1
Paulo E. D. Pinto,Homem,Raquel M. Souza,Mulher,1
Paulo E. D. Pinto,Homem,Vinicius F. Santos,Homem,2
Paulo Henrique M. A.,Homem,Wallesson C. S.,Homem,1
Paulo Matias,Homem,Roberto Parente,Homem,1
Pedro B. Castellucci,Homem,Rafael de Santiago,Homem,1
Pedro B. Castellucci,Homem,Wesly C. Ataide,Homem,1
Pedro B. Castellucci,Homem,Álvaro J. P. Franco,Homem,1
Phablo F. S. Moura,Homem,Vinicius Fernandes dos Santos,Homem,1
Phablo Moura,Homem,Tássio Naia,Homem,1
Priscila Camargo,Mulher,Uéverton S. Santos,Homem,1
Rafael C. S. Schoeury,Homem,Renan F. F. da Silva,Homem,1
Rafael C. S. Schoeury,Homem,Welverton Rodrigues da Silva,Homem,1
Rafael C. S. Schoeury,Homem,Yulle G. F. Borges,Mulher,2
Rafael T. Araújo,Homem,Sulamita Klein,Mulher,1
Rafael de Santiago,Homem,Wesly C. Ataide,Homem,1
Rafael de Santiago,Homem,Álvaro J. P. Franco,Homem,1
Raquel Bravo,Mulher,Rodolfo Oliveira,Homem,1
Raquel Bravo,Mulher,Ueverton Souza,Homem,1
Raul Lopes,Homem,Victor Campos,Homem,1
Renan F. F. da Silva,Homem,Yulle G. F. Borges,Mulher,1
Renato Carmo,Homem,Rodrigo Nogueira,Homem,1
Renato Carmo,Homem,Victor Campos,Homem,1
Rodolfo Oliveira,Homem,Ueverton Souza,Homem,1
Rodrigo Nogueira,Homem,Victor Campos,Homem,1
Romulo Oliveira,Homem,Vitor Ponciano,Homem,1
Rosiane Freitas,Mulher,Simone Gama,Mulher,1
Rosiane Freitas,Mulher,Ueverton Souza,Homem,1
Rubens A. Sucupira,Homem,Sulamita Klein,Mulher,1
Simone Gama,Mulher,Ueverton Souza,Homem,1
Tanilson D. Santos,Homem,Ueverton Souza,Homem,1
Thiago A. de Queiroz,Homem,Vinícius Lima,Homem,1
Thiago A. de Queiroz,Homem,Yulle Borges,Mulher,1
Vinícius Lima,Homem,Yulle Borges,Mulher,1
Wesly C. Ataide,Homem,Álvaro J. P. Franco,Homem,1
