Autor1,Gênero_Autor1,Autor2,Gênero_Autor2,Peso
Nestor D. O. Volpini,Homem,Raphael L. Pontes,Homem,1
Nestor D. O. Volpini,Homem,Vinicius S. Conceição,Homem,2
Pablo José Pavan,Homem,Philippe O. A. Navaux,Homem,1
Pablo José Pavan,Homem,Víctor Martínez,Homem,1
Paulo A. L. Rego,Homem,Paulo H. Rocha,Homem,1
Paulo A. L. Rego,Homem,Roseli da R. Barbosa,Mulher,1
Paulo A. L. Rego,Homem,Tomaz Bisneto,Homem,1
Paulo Armando C. Aguilar,Homem,Rossana M. C. Andrade,Mulher,1
Paulo F. C. Barbosa,Homem,Renato M. de Moraes,Homem,1
Paulo H. Rocha,Homem,Tomaz Bisneto,Homem,1
Pedro Freitas,Homem,Victor Cardoso,Homem,1
Philippe O. A. Navaux,Homem,Ricardo K. Lorenzoni,Homem,1
Philippe O. A. Navaux,Homem,Vinicius R. S. dos Santos,Homem,1
Philippe O. A. Navaux,Homem,Víctor Martínez,Homem,1
Ramon C. F. Araújo,Homem,Rodrigo M. S. Oliveira,Homem,1
Raphael L. Pontes,Homem,Vinicius S. Conceição,Homem,1
Renato M. de Moraes,Homem,Vandenberg B. da Paixão,Homem,1
Ricardo Bragança,Homem,Rodrigo Gandra,Homem,1
Ricardo Bragança,Homem,Vinicius Klõh,Homem,1
Rodrigo A. P. Silva,Homem,Yuri Frota,Homem,1
Rodrigo Gandra,Homem,Vinicius Klõh,Homem,1
Samuel Thibault,Homem,Vincent Danjean,Homem,1
Samuel Thibault,Homem,Vinicius Garcia Pinto,Homem,1
Sergio Viademonte,Homem,Walisson Gomes,Homem,1
Silvio E. Quincozes,Homem,Vagner E. Quincozes,Homem,1
Vincent Danjean,Homem,Vinicius Garcia Pinto,Homem,1
Warley Junior,Homem,Wendel Serra,Homem,1
