Autor1,Gênero_Autor1,Autor2,Gênero_Autor2,Peso
Felipe Araújo,Homem,Helder Oliveira,Homem,1
Felipe Araújo,Homem,Iago Medeiros,Homem,1
Felipe Araújo,Homem,Maria Tostes,Mulher,1
Felipe Araújo,Homem,Stefany Pinheiro,Mulher,1
Felipe Araújo,Homem,Ubiratan Bezerra,Homem,1
Felipe Haertel,Homem,Leandro Camargo,Homem,1
Felipe Marques,Homem,Lucas Penning,Homem,1
Felippe Mendonça de Queiroz,Homem,Leonardo de Assis Silva,Homem,1
Felippe Mendonça de Queiroz,Homem,Pedro Vinicius dos Santos Custodio,Homem,1
Felippe Mendonça de Queiroz,Homem,Raquel Frizera Vassallo,Mulher,2
Felippe Mendonça de Queiroz,Homem,Wagner Augusto Aranda Cotta,Homem,1
Fernando Matos,Homem,Robertson Lima,Homem,1
Fernando Oliveira,Homem,Heberth Reinstein,Homem,1
Fernando Oliveira,Homem,Mateus Delatorre,Homem,1
Fernando Trinta,Homem,Ricardo Andrade,Homem,1
Fernando Trinta,Homem,Vitor Cortez,Homem,1
Fernando Trinta,Homem,Willian Almeida Rodrigues,Homem,1
Fernando Trinta,Homem,Windson Viana,Homem,1
Flavia C. Delicato,Mulher,Tiago C. de S. Xavier,Homem,1
Flávia Delicato,Mulher,Jose Souza,Homem,1
Flávio R. C. Souza,Homem,Nídia G. S. Campos,Mulher,1
Flávio R. C. Souza,Homem,Sayonara S. Araújo,Mulher,1
Francisco A. Rocha,Homem,Gabriel G. Silva,Homem,1
Francisco A. Rocha,Homem,Rafael Gomes,Mulher,1
Francisco Airton Silva,Homem,Lucas Santos,Homem,1
Francisco da Ponte,Homem,Gabriel Galdino,Homem,1
Francisco da Ponte,Homem,Joaquim Celestino Jr,Homem,1
Francisco da Ponte,Homem,Rafael Gomes,Mulher,1
Franklin Barcellos,Homem,Rodrigo Lambrecht,Homem,1
Franklin Barcellos,Homem,Rogério Albandes,Homem,1
Fábio M. Costa,Homem,Roberto Rodrigues Filho,Homem,1
Fátima Duarte-Figueiredo,Mulher,Guilherme Silva,Homem,1
Fátima Duarte-Figueiredo,Mulher,Raquel Mini,Mulher,2
Gabriel G. Silva,Homem,Rafael Gomes,Mulher,1
Gabriel Galdino,Homem,Joaquim Celestino Jr,Homem,1
Gabriel Galdino,Homem,Rafael Gomes,Mulher,1
Gabriela Moutinho de Souza Dias,Mulher,Gustavo Claudio Karl Couto,Homem,1
Gabriela Moutinho de Souza Dias,Mulher,Ronaldo Moreira Salles,Homem,1
Geam Pfeiff,Homem,Helder Oliveira,Homem,1
Germano B. dos Santos,Homem,Leonardo J. A. S. Figueiredo,Homem,1
